result_count,comp_country,comp_iso,person_country,person_iso
1206,Germany,DE,Other European countries,IT
1184,Other European countries,SK,Poland,PL
1166,United Kingdom,GB,Netherlands,NL
1133,Other European countries,DK,Poland,PL
1115,Other European countries,IT,Other European countries,SI
1101,Netherlands,NL,France,FR
1072,Other European countries,PT,Spain,ES
1054,Other European countries,RO,Hungary,HU
1031,Other European countries,NO,Germany,DE
1016,United Kingdom,GB,Other European countries,SE
1002,Switzerland,CH,Other European countries,GR
1002,Other European countries,FI,Other European countries,EE
994,Other European countries,DK,Other European countries,NO
991,Other European countries,LV,Other European countries,EE
977,Other European countries,RS,Hungary,HU
972,France,FR,Other European countries,IT
970,United Kingdom,GB,Other European countries,IT
957,Other European countries,DK,Netherlands,NL
944,United Kingdom,GB,Spain,ES
885,Other European countries,NO,France,FR
865,Poland,PL,Germany,DE
858,Czech Republic,CZ,Other European countries,UA
839,Other European countries,DK,Other European countries,FI
828,Germany,DE,United Kingdom,GB
821,Spain,ES,Other European countries,SE
813,Netherlands,NL,Other European countries,RO
811,Other European countries,AT,Other European countries,SK
804,Other European countries,SE,Poland,PL
798,Other European countries,BA,Other European countries,SI
797,Other European countries,BA,Other European countries,RS
794,Other European countries,HR,Other European countries,RS
785,Other European countries,RO,Other European countries,BG
784,Hungary,HU,Other European countries,AT
778,Other European countries,IT,Hungary,HU
775,Other European countries,NO,Other European countries,DK
771,Spain,ES,Hungary,HU
765,Netherlands,NL,Other European countries,IT
761,Other European countries,NO,United Kingdom,GB
741,Other European countries,BG,Other European countries,RO
731,Other European countries,IT,Germany,DE
724,Hungary,HU,Poland,PL
722,United Kingdom,GB,Other European countries,UA
719,Belgium,BE,United Kingdom,GB
711,Spain,ES,Other European countries,DK
706,Spain,ES,Other European countries,NO
697,Poland,PL,Other European countries,SK
691,Other European countries,LT,Poland,PL
689,Hungary,HU,Other European countries,SK
687,Other European countries,FI,Other European countries,SE
685,Spain,ES,Other European countries,RO
677,Spain,ES,Switzerland,CH
662,Poland,PL,Netherlands,NL
646,Czech Republic,CZ,Netherlands,NL
644,Other European countries,LI,Switzerland,CH
644,Netherlands,NL,Other European countries,GR
637,Other European countries,AT,Other European countries,SI
634,Other European countries,AT,Czech Republic,CZ
628,Poland,PL,Other European countries,BY
620,Spain,ES,Belgium,BE
612,Other European countries,RS,Other European countries,BA
608,Other European countries,IE,Other European countries,UA
605,Czech Republic,CZ,France,FR
605,Other European countries,DK,Belgium,BE
598,United Kingdom,GB,Other European countries,BG
582,Other European countries,FI,Germany,DE
571,Germany,DE,Other European countries,LU
571,Other European countries,SK,Other European countries,SI
569,Other European countries,TR,Other European countries,RU
564,Switzerland,CH,Other European countries,SK
562,Netherlands,NL,Other European countries,RU
556,Other European countries,RS,Other European countries,HR
555,Other European countries,LU,Germany,DE
553,Belgium,BE,Hungary,HU
553,Netherlands,NL,Hungary,HU
552,Other European countries,RS,Other European countries,SI
550,Other European countries,RO,Other European countries,MD
548,Switzerland,CH,Poland,PL
547,Other European countries,CY,Other European countries,IL
539,Czech Republic,CZ,Other European countries,SI
531,Other European countries,UA,Other European countries,BY
521,France,FR,Poland,PL
521,Netherlands,NL,United Kingdom,GB
518,Spain,ES,Other European countries,EE
508,United Kingdom,GB,Other European countries,RU
506,Other European countries,NO,Poland,PL
505,Hungary,HU,Germany,DE
