id,name,country_id,full_date,year,month,day,wgs_long,wgs_lat,championship_type,is_championship
75PorCientoBogota2026,75 Por Ciento Bogotá 2026,Colombia,2026-04-04,2026,4,4,-74.112246,4.710608,,0
75porCientoIIBogota2023,75 por Ciento II Bogotá 2023,Colombia,2023-05-07,2023,5,7,-74.111795,4.71048,,0
7x7MadisonPark2022,7x7 in a Madison Park 2022,USA,2022-09-25,2022,9,25,-89.39875,43.063517,,0
7x7OffI70MO2026,7x7 Off I-70 MO 2026,USA,2026-05-02,2026,5,2,-94.19623,39.018974,,0
8WingLimited2019,8 Wing Limited 2019,Canada,2019-04-06,2019,4,6,-77.532784,44.107721,,0
AAAbresiens2025,Algorithmes Artistiques Abrésiens 2025,France,2025-11-15,2025,11,15,5.570745,45.546209,,0
AachenOpen2009,Aachen Open 2009,Germany,2009-01-10,2009,1,10,6.075948,50.781529,,0
AachenOpen2010,Aachen Open 2010,Germany,2010-01-16,2010,1,16,6.083612,50.776585,,0
AachenOpen2011,Aachen Open 2011,Germany,2011-01-14,2011,1,14,6.059067,50.778901,,0
AachenOpen2025,Aachen Open 2025,Germany,2025-01-18,2025,1,18,6.081921,50.778472,,0
AachenSummer2012,Aachen Summer Open 2012,Germany,2012-06-23,2012,6,23,6.040408,50.777956,,0
AachenSummerOpen2026,Aachen Summer Open 2026,Germany,2026-07-04,2026,7,4,6.081921,50.778472,,0
AalborgOpen2011,Aalborg Open 2011,Denmark,2011-02-05,2011,2,5,9.920104,57.047224,,0
AalborgOpen2024,Aalborg Open 2024,Denmark,2024-05-11,2024,5,11,9.927343,57.0471,,0
AalborgSpecial2026,Aalborg Special 2026,Denmark,2026-02-28,2026,2,28,9.927343,57.0471,,0
AarhusAdvent2024,Aarhus Advent 2024,Denmark,2024-12-01,2024,12,1,10.196283,56.144041,,0
AarhusChristmas2019,Aarhus Christmas 2019,Denmark,2019-12-14,2019,12,14,10.19616,56.144236,,0
AarhusChristmas2024,Aarhus Christmas 2024,Denmark,2024-12-14,2024,12,14,10.196283,56.144041,,0
AarhusDiverse2024,Aarhus Diverse 2024,Denmark,2024-05-05,2024,5,5,10.198638,56.144055,,0
AarhusFall2025,Aarhus Fall 2025,Denmark,2025-11-22,2025,11,22,10.196283,56.144041,,0
AarhusOpen2012,Aarhus Open 2012,Denmark,2012-11-10,2012,11,10,10.21602,56.171082,,0
AarhusOpen2022,Aarhus Open 2022,Denmark,2022-11-05,2022,11,5,10.208846,56.175607,,0
AarhusSpring2019,Aarhus Spring 2019,Denmark,2019-03-08,2019,3,8,10.165551,56.060472,,0
AarhusSpring2020,Aarhus Spring 2020,Denmark,2020-04-04,2020,4,4,10.19616,56.144236,,0
AarhusSpring2023,Aarhus Spring 2023,Denmark,2023-03-25,2023,3,25,10.196308,56.174172,,0
AarhusSpring2024,Aarhus Spring 2024,Denmark,2024-03-17,2024,3,17,10.196283,56.144041,,0
AarhusSummer2025,Aarhus Summer 2025,Denmark,2025-06-15,2025,6,15,10.196283,56.144041,,0
AarhusWinter2025,Aarhus Winter 2025,Denmark,2025-02-22,2025,2,22,10.196283,56.144041,,0
AarhusWinter2026,Aarhus Winter 2026,Denmark,2026-01-31,2026,1,31,10.196283,56.144041,,0
AaruushCubeOpen2014,Aaruush Cube Open 2014,India,2014-09-13,2014,9,13,80.044157,12.824686,,0
AaseeAlgorithms2023,Aasee Algorithms 2023,Germany,2023-06-03,2023,6,3,7.617706,51.95569,,0
AbbotsfordBegins2022,Abbotsford Begins 2022,Australia,2022-07-03,2022,7,3,144.993092,-37.804631,,0
AbbotsfordBigCubeDay2022,Abbotsford Big Cube Day 2022,Australia,2022-07-17,2022,7,17,144.993092,-37.804631,,0
AbbotsfordBlindChallenge2022,Abbotsford Blind Challenge 2022,Australia,2022-07-10,2022,7,10,144.993092,-37.804631,,0
ABCD2018,A Bruin Cube Day 2018,USA,2018-05-19,2018,5,19,-118.4436,34.070437,,0
ABCOpen2010,ABC Open 2010,Brazil,2010-03-20,2010,3,20,-46.554677,-23.700874,,0
AberdeenAutumn2023,Aberdeen Autumn 2023,United Kingdom,2023-11-04,2023,11,4,-2.112207,57.152976,,0
ABHC2016,August Bank Holiday Competition 2016,United Kingdom,2016-08-27,2016,8,27,-1.505661,53.373268,,0
ABHC2017,August Bank Holiday Competition 2017,United Kingdom,2017-08-26,2017,8,26,-0.210264,51.792784,,0
ABHC2018,August Bank Holiday Competition 2018,United Kingdom,2018-08-25,2018,8,25,-0.164878,51.124619,,0
ABHC2019,August Bank Holiday Celebration 2019,United Kingdom,2019-08-24,2019,8,24,-0.164878,51.124619,,0
ABHC2022,August Bank Holiday Cheltenham 2022,United Kingdom,2022-08-27,2022,8,27,-2.078872,51.910648,,0
ABHC2023,August Bank Holiday Cheltenham 2023,United Kingdom,2023-08-26,2023,8,26,-2.078872,51.910648,,0
ABHM2023,August Bank Holiday Manchester 2023,United Kingdom,2023-08-26,2023,8,26,-2.265146,53.379674,,0
AbiertodeLaMatanza2024,Abierto de La Matanza 2024,Argentina,2024-02-24,2024,2,24,-58.53023,-34.660147,,0
AbiertoDelMirador2022,Abierto del Mirador 2022,Argentina,2022-08-13,2022,8,13,-58.53023,-34.660147,,0
AbiertodelMiradorenPrimavera2024,Abierto del Mirador en Primavera 2024,Argentina,2024-09-28,2024,9,28,-58.53023,-34.660147,,0
AbiertoDeNavidad2021,Abierto de Navidad 2021,Argentina,2021-12-26,2021,12,26,-58.53023,-34.660147,,0
AbiertoDePascuas2023,Abierto de Pascuas 2023,Argentina,2023-04-07,2023,4,7,-64.491226,-31.416046,,0
AbileneSpring2026,Abilene Spring 2026,USA,2026-04-25,2026,4,25,-99.733747,32.455332,,0
AboardthePyraminxTrain2018,Aboard the Pyraminx Train 2018,India,2018-02-10,2018,2,10,77.565159,12.980193,,0
AbrakadabraMagic2015,Abrakadabra Magic 2015,Venezuela,2015-03-14,2015,3,14,-71.189508,8.584016,,0
ABruinCubeDay2020,A Bruin Cube Day 2020,USA,2020-04-25,2020,4,25,-118.444225,34.070391,,0
ABruinCubeDay2022,A Bruin Cube Day 2022,USA,2022-05-08,2022,5,8,-118.444225,34.070391,,0
ABruinCubeDaySpring2023,A Bruin Cube Day Spring 2023,USA,2023-03-25,2023,3,25,-118.444145,34.070418,,0
AbruzzoalCubo2025,Abruzzo al Cubo 2025,Italy,2025-06-28,2025,6,28,14.292665,42.418009,,0
ABuffaloCubeDay2024,A Buffalo Cube Day 2024,USA,2024-11-23,2024,11,23,-78.787894,42.837961,,0
AbujaOpen2024,Abuja Open 2024,Nigeria,2024-11-30,2024,11,30,7.405997,9.048308,,0
ACA5thAnniversary2020,ACA 5th Anniversary 2020,Azerbaijan,2020-04-11,2020,4,11,49.854229,40.425968,AZ,1
ACA7thAnniversary2022,ACA 7th Anniversary 2022,Azerbaijan,2022-04-23,2022,4,23,49.828115,40.385168,,0
AcadianaClassic2019,Acadiana Classic 2019,USA,2019-05-25,2019,5,25,-92.016966,30.213235,,0
ACALeagueFinal2019,ACA League Final 2019,Azerbaijan,2019-09-01,2019,9,1,46.31885,40.68001,,0
ACALeagueFinalBaku2024,ACA League Final -  Baku 2024,Azerbaijan,2024-09-28,2024,9,28,49.867092,40.409261,,0
ACALeagueI2019,ACA League I 2019,Azerbaijan,2019-07-07,2019,7,7,49.952721,40.429513,,0
ACALeagueII2019,ACA League II 2019,Azerbaijan,2019-07-21,2019,7,21,46.31885,40.68001,,0
ACALeagueIIGanja2024,ACA League II - Ganja 2024,Azerbaijan,2024-08-03,2024,8,3,46.318859,40.680012,,0
ACALeagueISumgait2024,ACA League I - Sumgait 2024,Azerbaijan,2024-07-06,2024,7,6,49.685296,40.582712,,0
AcarajeOpen2019,Acarajé Open 2019,Brazil,2019-01-15,2019,1,15,-38.392764,-12.947235,,0
ACARO2016,Arnold Classic Asia 2016,Hong Kong,2016-08-20,2016,8,20,113.943265,22.32101,HK,1
AchoOpen2017,Acho Open 2017,Spain,2017-07-29,2017,7,29,-1.29701,38.117644,,0
AckermanSpring2024,Ackerman Spring 2024,USA,2024-06-15,2024,6,15,-88.056249,41.893098,,0
AcropolisBucaramanga2024,Acrópolis Bucaramanga 2024,Colombia,2024-02-24,2024,2,24,-73.122649,7.104175,,0
AcropolisBucaramanga2025,Acrópolis Bucaramanga 2025,Colombia,2025-02-15,2025,2,15,-73.122172,7.104427,,0
AcropolisBucaramangaII2024,Acrópolis Bucaramanga II 2024,Colombia,2024-05-04,2024,5,4,-73.122172,7.104427,,0
AcropolisBucaramangaIII2024,Acrópolis Bucaramanga III 2024,Colombia,2024-11-23,2024,11,23,-73.122172,7.104427,,0
AcrosstheWoodsKentuckyA2023,Across the Woods Kentucky A 2023,USA,2023-12-16,2023,12,16,-84.493799,38.053498,,0
AcrosstheWoodsKentuckyB2023,Across the Woods Kentucky B 2023,USA,2023-12-17,2023,12,17,-84.493799,38.053498,,0
ACTChampionship2021,ACT Championship 2021,Australia,2021-07-31,2021,7,31,149.11049,-35.312208,,0
ACTChampionship2025,Australian Capital Territory Championship 2025,Australia,2025-12-06,2025,12,6,149.04481,-35.206274,,0
ActivaClubLima2020,Activa Club Lima 2020,Peru,2020-04-04,2020,4,4,-77.04416,-11.972304,,0
ActivaClubRubik2017,Activa Club Rubik 2017,Peru,2017-03-11,2017,3,11,-77.044153,-11.972345,,0
ActonCubing2023,Acton Cubing 2023,El Salvador,2023-04-02,2023,4,2,-89.234181,13.670335,,0
ACubearConPuzzlemania2019,A Cubear Con Puzzlemania 2019,Dominican Republic,2019-01-12,2019,1,12,-69.936107,18.484951,,0
ACubicHopeIsrael2025,Episode IV - A Cubic Hope Israel 2025,Israel,2025-02-27,2025,2,27,34.824771,31.94182,,0
ADAFall2023,ADA Fall 2023,Azerbaijan,2023-09-09,2023,9,9,49.849348,40.394705,,0
ADAOpen2023,ADA Open 2023,Azerbaijan,2023-03-18,2023,3,18,49.849348,40.394705,,0
AdelaideAutumn2022,Adelaide Autumn 2022,Australia,2022-05-22,2022,5,22,138.590532,-34.950855,,0
AdelaideAutumn2023,Adelaide Autumn 2023,Australia,2023-05-21,2023,5,21,138.519406,-35.003482,,0
AdelaideAutumn2026,Adelaide Autumn 2026,Australia,2026-04-12,2026,4,12,138.500929,-34.795956,,0
AdelaideSummer2016,Adelaide Summer 2016,Australia,2016-01-23,2016,1,23,138.495323,-34.851492,,0
AdelaideSummer2017,Adelaide Summer 2017,Australia,2017-01-21,2017,1,21,138.599455,-34.915085,,0
AdelaideSummer2018,Adelaide Summer 2018,Australia,2018-01-13,2018,1,13,138.596113,-34.915516,,0
AdelaideSummer2019,Adelaide Summer 2019,Australia,2019-01-19,2019,1,19,138.596113,-34.915516,,0
AdelaideSummer2020,Adelaide Summer 2020,Australia,2020-01-11,2020,1,11,138.595116,-34.915695,,0
AdelaideSummer2022,Adelaide Summer 2022,Australia,2022-01-15,2022,1,15,138.618959,-34.922674,,0
AdelaideSummer2023,Adelaide Summer 2023,Australia,2023-01-28,2023,1,28,138.619608,-34.923585,,0
AdelaideSummer2024,Adelaide Summer 2024,Australia,2024-01-13,2024,1,13,138.619608,-34.923585,,0
AdelaideSummer2025,Adelaide Summer 2025,Australia,2025-01-10,2025,1,10,138.61914,-34.92087,,0
AdelaideSummer2026,Adelaide Summer 2026,Australia,2026-01-10,2026,1,10,138.573887,-35.001832,,0
AdelaideTwinSaturday2021,Adelaide Twin Saturday 2021,Australia,2021-01-16,2021,1,16,138.595802,-34.942487,,0
AdelaideTwinSunday2021,Adelaide Twin Sunday 2021,Australia,2021-01-17,2021,1,17,138.595802,-34.942487,,0
AdelaideWinter2018,Adelaide Winter 2018,Australia,2018-07-14,2018,7,14,138.586961,-34.92555,,0
AdelaideWinter2020,Adelaide Winter 2020,Australia,2020-07-11,2020,7,11,138.590657,-34.950953,,0
AdelaideWinterSaturday2023,Adelaide Winter Saturday 2023,Australia,2023-06-24,2023,6,24,138.590626,-34.951011,,0
AdelaideWinterSunday2023,Adelaide Winter Sunday 2023,Australia,2023-06-25,2023,6,25,138.590626,-34.951011,,0
AdventHvidovre2024,En Ad-vent Gangen i Hvidovre 2024,Denmark,2024-12-07,2024,12,7,12.48866,55.641752,,0
